county,state,evangelicals,mainline protestant,catholic,orthodox,muslim,other
Broome ,NY,13541,21823,62220,2285,800,4900
Broomfield ,CO,8105,4843,4000,0,0,64
Broward ,FL,221258,53412,280324,5648,18176,63064
Brown ,IL,532,808,1676,0,0,4
Brown ,IN,1607,1080,750,30,0,7
Brown ,KS,969,3123,900,0,0,259
Brown ,MN,6547,5750,10778,0,0,75
Brown ,NE,953,760,400,0,0,1
Brown ,OH,9242,2067,2870,0,0,380
Brown ,SD,7400,11782,8543,0,0,426
Brown ,TX,23607,3609,2500,0,0,458
Brown ,WI,33156,20941,110123,100,308,1913
Brule ,SD,586,1135,2676,0,0,2
Brunswick ,NC,19122,8995,5782,0,0,1505
Brunswick ,VA,4068,2637,185,0,0,161
Bryan ,GA,6857,2613,2030,0,0,10
Bryan ,OK,24753,2026,250,0,0,684
Buchanan ,IA,3071,5044,5191,0,0,6
Buchanan ,MO,24772,7475,8934,0,308,2298
Buchanan ,VA,4949,724,21,0,0,0
Buckingham ,VA,2175,749,34,0,0,507
Bucks ,PA,29487,61154,321963,777,2026,16159
Buena Vista ,IA,3878,5253,3194,0,0,338
Buena Vista city,VA,2326,610,0,0,0,1499
Buffalo ,NE,8313,9505,9043,90,0,613
Buffalo ,SD,0,177,787,0,0,162
Buffalo ,WI,2043,3625,3100,0,0,1
Bullitt ,KY,19239,2123,3054,0,0,291
Bulloch ,GA,16248,5143,1897,0,0,915
Bullock ,AL,2152,601,49,0,0,53
Buncombe ,NC,82696,23724,8832,444,150,4668
Bureau ,IL,4397,5999,4564,70,0,88
Burke ,GA,6879,1624,350,0,0,564
Burke ,NC,41460,9782,1023,0,308,1153
Burke ,ND,138,1644,342,0,0,0
Burleigh ,ND,10828,19606,20169,0,308,1432
Burleson ,TX,3863,1836,2144,0,0,62
Burlington ,NJ,23751,29271,111334,620,7770,13995
Burnet ,TX,11541,4019,4687,0,0,738
Burnett ,WI,1361,2829,1181,0,0,1
Burt ,NE,1794,2603,712,0,0,0
Butler ,AL,8653,1653,77,0,0,238
Butler ,IA,2191,7565,570,0,0,0
Butler ,KS,10598,8866,7800,0,0,571
Butler ,KY,8255,169,95,0,0,230
Butler ,MO,12285,2022,2143,0,308,973
Butler ,NE,766,800,3654,0,0,0
Butler ,OH,63088,22088,44417,90,2000,6647
Butler ,PA,21100,28835,54600,310,0,4288
Butte ,CA,22822,6272,34101,280,1109,11031
Butte ,ID,166,114,132,0,0,1635
Butte ,SD,626,1754,784,0,0,427
Butts ,GA,6765,1160,657,0,0,11
Cabarrus ,NC,57730,27978,8472,0,0,1335
Cabell ,WV,13824,18454,3052,255,60,1771
Cache ,UT,1596,843,3308,0,308,93104
Caddo ,OK,18370,3958,300,0,0,548
Caddo Parish,LA,94174,24233,14397,445,508,3110
Calaveras ,CA,3717,972,25052,45,0,1642
Calcasieu Parish,LA,51570,9563,64050,33,308,1527
Caldwell ,KY,10221,1042,124,0,0,308
Caldwell ,MO,2571,1339,104,0,0,182
Caldwell ,NC,39183,7486,883,0,0,332
Caldwell ,TX,6949,2787,5894,0,0,27
Caldwell Parish,LA,5562,469,92,0,0,0
Caledonia ,VT,1488,3810,4355,0,0,780
Calhoun ,AL,67564,7066,3192,40,308,1590
Calhoun ,AR,1992,236,0,0,0,0
Calhoun ,FL,3725,430,53,0,1397,1397
Calhoun ,GA,1872,425,0,0,0,26
Calhoun ,IL,848,185,2898,0,0,0
Calhoun ,IA,1625,5081,1568,0,308,308
Calhoun ,MI,19144,9293,11553,180,0,1337
Calhoun ,MS,10526,805,85,0,0,0
Calhoun ,SC,1318,1857,0,0,0,106
Calhoun ,TX,6267,1612,3191,0,0,856
Calhoun ,WV,624,1169,0,0,0,5
Callahan ,TX,7036,1000,150,0,0,0
Callaway ,MO,8902,3628,2193,0,0,637
Calloway ,KY,16535,3880,862,0,0,451
Calumet ,WI,5208,2145,15168,0,0,83
Calvert ,MD,6779,7988,39245,0,308,1076
Camas ,ID,105,0,54,0,0,150
Cambria ,PA,9208,24819,64831,1581,0,609
Camden ,GA,11256,3264,1656,0,0,919
Camden ,MO,10799,3211,1950,0,0,1085
Camden ,NJ,21048,37518,180343,2500,9970,27141
Camden ,NC,1341,775,0,0,0,0
Cameron ,PA,753,911,1838,0,0,0
Cameron ,TX,47744,7258,137889,0,2542,9115
Cameron Parish,LA,1513,210,3800,0,0,1
Camp ,TX,5256,829,1421,0,0,2
Campbell ,KY,13703,6231,24500,0,0,8
Campbell ,SD,493,286,191,0,0,0
Campbell ,TN,12641,1231,190,0,0,311
Campbell ,VA,14339,7412,0,0,150,153
Campbell ,WY,6296,2416,5217,40,0,2256
Canadian ,OK,31997,9358,6622,0,0,2561
Candler ,GA,3598,451,319,0,0,0
Cannon ,TN,5705,389,0,0,0,0
Canyon ,ID,25615,3881,17838,0,0,29810
Cape Girardeau ,MO,36396,9177,11162,27,90,888
Cape May ,NJ,6822,9215,35541,500,0,339
Carbon ,MT,744,1037,1967,0,0,406
Carbon ,PA,1943,14613,12418,264,0,162
Carbon ,UT,1002,367,4091,280,0,11370
Carbon ,WY,1468,1039,1663,0,0,1545
Caribou ,ID,60,90,374,0,0,5327
Carlisle ,KY,1979,409,204,0,0,0
Carlton ,MN,4740,5485,5632,0,0,138
Caroline ,MD,3652,3422,2585,0,0,17
Caroline ,VA,6250,1808,771,0,0,1
Carroll ,AR,7926,1479,950,0,0,488
Carroll ,GA,39730,7792,4462,0,0,826
Carroll ,IL,2335,4531,1508,0,0,47
Carroll ,IN,2659,3236,1870,0,0,1
Carroll ,IA,3336,2860,11943,0,0,196
Carroll ,KY,3575,902,550,0,0,122
Carroll ,MD,13764,24903,30551,226,0,2472
Carroll ,MS,3603,710,0,0,0,2
Carroll ,MO,5030,1398,419,0,0,1
Carroll ,NH,1241,4266,4304,0,0,366
Carroll ,OH,2169,4509,1826,0,0,1
Carroll ,TN,12886,1883,69,0,0,1
Carroll ,VA,7020,3192,257,0,0,1
Carson ,TX,3289,882,628,0,0,2
Carson City,NV,6728,1802,2578,600,308,3208
Carter ,KY,6269,666,102,0,0,157
Carter ,MO,1905,210,98,0,0,5
Carter ,MT,189,99,97,0,0,86
Carter ,OK,22807,6803,856,0,308,1020
Carter ,TN,24745,1817,210,0,0,1
Carteret ,NC,15896,9171,2345,0,0,1147
Carver ,MN,13244,9289,14887,0,0,1119
Cascade ,MT,10968,5739,9375,80,0,4374
Casey ,KY,5470,1554,312,0,0,2
Cass ,IL,3235,2836,2613,0,0,83
Cass ,IN,6839,5228,4583,0,0,509
Cass ,IA,2388,4514,1403,0,0,273
Cass ,MI,2750,2241,2606,0,0,304
Cass ,MN,3017,4807,2820,0,0,13
Cass ,MO,22842,6661,6301,0,0,363
Cass ,NE,1886,4007,2557,0,0,302
Cass ,ND,14318,46444,26438,50,308,1805
Cass ,TX,17887,2115,810,0,0,396
Cassia ,ID,1835,755,2162,0,0,11925
Castro ,TX,2605,452,2322,0,0,0
Caswell ,NC,4181,2306,0,0,0,0
Catahoula Parish,LA,5313,306,115,0,0,0
Catawba ,NC,52233,32751,4756,0,0,2004
Catoosa ,GA,15950,2815,523,0,0,7
Catron ,NM,359,56,300,0,0,351
Cattaraugus ,NY,6923,7090,12351,0,1522,2843
Cavalier ,ND,210,1642,1293,0,0,0
Cayuga ,NY,2886,6462,23937,150,0,502
Cecil ,MD,11922,8873,9440,0,0,465
Cedar ,IA,987,5250,1759,0,0,4
Cedar ,MO,4851,848,230,0,0,765
Cedar ,NE,302,2385,4775,0,0,6
Centre ,PA,11664,23997,19203,229,400,2510
Cerro Gordo ,IA,6871,15231,6672,200,308,970
Chaffee ,CO,4290,1024,2024,0,0,446
Chambers ,AL,12903,3080,249,0,0,239
Chambers ,TX,4405,2169,3926,0,0,3
Champaign ,IL,28618,16652,15215,595,3298,6441
Champaign ,OH,4159,5298,1488,25,0,7
Chariton ,MO,2405,1248,2135,0,0,0
Charles ,MD,18323,6593,26146,100,308,1512
Charles City ,VA,2312,1112,0,0,0,0
Charles Mix ,SD,1690,1594,2788,0,0,89
Charleston ,SC,77602,47209,26003,850,924,8688
Charlevoix ,MI,2126,2757,3324,0,0,444
Charlotte ,FL,15324,10049,35400,434,1397,2703
Charlotte ,VA,3818,1853,0,0,1718,2050
Charlottesville city,VA,11453,7580,10777,460,3436,4687
Charlton ,GA,2750,568,270,0,0,0
Chase ,KS,638,340,390,0,0,1
Chase ,NE,1334,703,658,0,0,0
Chatham ,GA,65804,25660,22109,365,600,8607
Chatham ,NC,15535,5713,1066,0,0,214
Chattahoochee ,GA,373,64,0,0,0,3
Chattooga ,GA,10540,1210,0,0,0,0
Chautauqua ,KS,538,1113,30,0,0,0
Chautauqua ,NY,11175,18659,20912,230,1522,2884
Chaves ,NM,17026,2193,14031,0,0,1399
