county,state,AGE_OTO4,AGE_5TO14,AGE_15TO24,AGE_25TO34,AGE_35TO44,AGE_45TO54,AGE_55TO64,AGE_65TO74,AGE_75TO84,AGE_84PLUS
Raleigh ,WV,3991,8949,7959,9124,9478,9163,10273,9200,4292,1825
Ralls ,MO,491,1294,1057,1035,1168,1343,1602,1360,657,205
Ramsey ,MN,38093,70498,73680,92026,68339,61245,67001,46178,22016,11134
Ramsey ,ND,810,1488,1369,1353,1191,1289,1699,1215,691,376
Randall ,TX,8790,18337,18875,20018,17983,15309,16423,12059,6282,2195
Randolph ,AL,1314,2688,2800,2452,2446,3042,3358,2658,1476,491
Randolph ,AR,1139,2374,2044,2252,2075,2151,2334,1952,1099,528
Randolph ,GA,386,803,810,726,668,737,1071,879,478,275
Randolph ,IL,1683,3446,3544,4457,4218,4172,4614,3214,1822,936
Randolph ,IN,1464,3140,3031,2603,2792,3235,3541,2732,1602,711
Randolph ,MO,1446,2978,3199,3417,3131,3275,3160,2346,1271,540
Randolph ,NC,8084,18143,17465,16881,16505,20687,20146,15138,7634,2668
Randolph ,WV,1455,3015,3314,3546,3264,3770,4152,3620,1960,727
Rankin ,MS,9005,20315,18388,21556,21938,20190,18971,14070,6901,2568
Ransom ,ND,320,666,594,504,594,668,810,543,308,230
Rapides Parish,LA,8902,17957,16736,17032,15785,15819,16956,12270,6582,2523
Rappahannock ,VA,246,702,724,696,669,954,1280,1174,607,200
Ravalli ,MT,2070,4590,4339,4003,4611,5258,7163,6796,3315,1027
Rawlins ,KS,157,299,216,255,243,252,386,352,235,113
Ray ,MO,1261,2920,2691,2562,2634,3066,3505,2388,1360,496
Reagan ,TX,291,637,523,473,546,429,422,242,132,46
Real ,TX,153,333,314,298,318,420,617,599,341,85
Red Lake ,MN,233,565,406,378,486,462,632,447,263,127
Red River ,TX,637,1344,1278,1245,1269,1530,1876,1631,973,392
Red River Parish,LA,516,1146,956,999,898,1087,1256,909,524,186
Red Willow ,NE,636,1296,1424,1186,1181,1160,1612,1115,735,381
Redwood ,MN,996,2135,1776,1589,1647,1724,2157,1623,1018,584
Reeves ,TX,1026,1922,2436,2697,2454,1905,1376,999,626,254
Refugio ,TX,451,879,798,765,741,840,968,888,520,182
Reno ,KS,3457,7949,7834,7721,7210,7127,8724,6583,3707,2030
Rensselaer ,NY,8391,17319,21392,22697,18804,20853,22955,16064,7486,3481
Renville ,MN,915,1918,1642,1495,1583,1721,2298,1533,963,544
Renville ,ND,144,291,257,254,249,304,393,252,148,82
Republic ,KS,256,539,464,411,447,479,774,620,409,265
Reynolds ,MO,269,705,668,605,699,833,1026,787,477,185
Rhea ,TN,1954,4199,4317,3872,3730,4412,4411,3665,1871,613
Rice ,KS,561,1232,1508,1068,952,1013,1354,972,600,271
Rice ,MN,3857,8129,12221,7613,7732,8140,8581,5806,3108,1336
Rich ,UT,188,416,327,265,278,241,306,260,120,63
Richardson ,NE,453,925,841,772,771,928,1289,1001,592,365
Richland ,IL,1060,2016,1618,1879,1799,1874,2289,1579,1088,561
Richland ,MT,737,1589,1267,1471,1351,1298,1568,982,461,189
Richland ,ND,1024,1988,2766,1842,1671,1660,2384,1526,853,525
Richland ,OH,6839,14804,14555,15298,14273,14891,16874,12967,7340,3258
Richland ,SC,24036,49409,80067,62012,50834,48297,47131,33032,14312,5446
Richland ,WI,910,2219,1903,1658,1863,2082,2770,2229,1166,577
Richland Parish,LA,1233,2654,2486,2669,2498,2338,2770,2081,1063,400
Richmond ,GA,13538,25102,30242,33470,23313,22377,25170,17247,8080,3015
Richmond ,NY,27413,58226,57889,64891,59314,65568,65825,45385,21949,9719
Richmond ,NC,2687,5811,5704,5551,5160,5867,6051,4792,2451,813
Richmond ,VA,404,877,906,1265,1217,1219,1249,945,663,293
Richmond city,VA,13421,21239,32908,50455,27476,24863,28249,18343,7665,4164
Riley ,KS,4133,6397,25371,12812,7349,4953,5679,4081,1844,1084
Ringgold ,IA,303,646,547,482,504,536,731,602,368,249
Rio Arriba ,NM,2418,5138,4690,4548,4266,4725,5663,4415,2313,830
Rio Blanco ,CO,373,908,826,800,758,719,967,552,307,126
Rio Grande ,CO,659,1440,1335,1381,1313,1224,1622,1329,659,288
Ripley ,IN,1686,3772,3702,3138,3351,3815,3974,2917,1511,657
Ripley ,MO,812,1736,1385,1544,1551,1645,1994,1541,878,315
Ritchie ,WV,489,1082,978,964,1096,1354,1563,1286,668,241
Riverside ,CA,158812,349668,345080,342447,315283,305234,281112,200672,109494,42956
Roane ,TN,2379,5614,5759,5536,5673,7445,8626,7028,3640,1440
Roane ,WV,657,1683,1440,1410,1610,1836,2242,1826,909,319
Roanoke ,VA,4184,10872,10968,10741,10962,12874,13321,11301,6173,2677
Roanoke city,VA,7054,12313,10643,15480,12241,12533,13136,9796,4335,2389
Roberts ,SD,931,1645,1307,1055,975,1130,1371,1137,599,297
Roberts ,TX,58,127,87,98,120,94,130,116,58,15
Robertson ,KY,108,258,231,222,225,297,334,239,155,66
Robertson ,TN,4422,9548,8415,9078,9228,9873,9928,6453,3126,941
Robertson ,TX,1133,2359,1942,2089,2013,2093,2319,1910,994,432
Robeson ,NC,8725,18562,18858,16695,15618,16327,16981,12410,5724,1931
Rock ,MN,574,1402,1116,970,1103,1057,1325,954,580,333
Rock ,NE,81,155,118,124,142,100,277,204,96,63
Rock ,WI,9945,21092,20706,20055,19976,21498,22835,15550,8120,3352
Rock Island ,IL,8943,17820,17556,17744,17162,16758,19822,15415,8466,3791
Rockbridge ,VA,955,2314,2436,2319,2247,2905,3667,3267,1907,735
Rockcastle ,KY,897,2022,1913,1982,1941,2515,2439,1812,962,267
Rockdale ,GA,5295,12804,12431,10815,10834,12833,12523,8293,3516,1250
Rockingham ,NH,14304,33894,35084,36647,35542,47175,50992,33987,15215,6336
Rockingham ,NC,4660,10338,10086,10094,9831,12890,14239,10739,5704,2109
Rockingham ,VA,4517,10025,10514,9625,9390,10381,11320,8511,4885,2076
Rockland ,NY,26349,50192,45196,37913,35789,39653,39496,27713,15662,7732
Rockwall ,TX,6338,15773,13134,11192,15024,14432,12170,7659,3606,1329
Roger Mills ,OK,242,524,409,347,444,409,521,406,256,98
Rogers ,OK,5355,12129,11992,11484,11171,12182,12590,8814,4692,1575
Rolette ,ND,1304,2861,1919,1730,1567,1521,1728,1034,468,169
Rooks ,KS,318,617,527,564,518,575,781,584,353,176
Roosevelt ,MT,1132,2037,1473,1528,1211,1070,1342,765,350,151
Roosevelt ,NM,1325,2505,4051,2448,1898,1874,1970,1475,876,321
Roscommon ,MI,854,2025,1879,1920,1882,2750,4801,4626,2458,689
Roseau ,MN,907,2073,1841,1527,1673,2080,2398,1465,803,383
Rosebud ,MT,761,1444,1167,1070,907,1022,1261,909,383,139
Ross ,OH,4253,9068,9000,9616,10094,10932,11116,7500,4065,1287
Routt ,CO,1166,2621,2880,3847,3706,3555,3984,2776,911,287
Rowan ,KY,1339,2650,6254,3043,2445,2700,2703,2004,1103,342
Rowan ,NC,8134,17537,17782,17599,16440,19196,19744,14504,7450,2876
Runnels ,TX,562,1337,1236,1189,1113,1261,1410,1141,699,286
Rush ,IN,972,2114,2061,1850,1866,2277,2467,1691,986,379
Rush ,KS,167,362,331,284,318,359,504,390,231,147
Rusk ,TX,3055,6958,6926,7351,7290,6823,7020,5281,2665,1081
Rusk ,WI,739,1581,1497,1229,1436,1775,2466,1971,988,465
Russell ,AL,3972,7785,7000,8788,7223,7338,7395,4999,2388,893
Russell ,KS,412,858,677,708,697,803,1063,873,498,318
Russell ,KY,1082,2286,1900,1935,1994,2495,2532,2102,1081,414
Russell ,VA,1273,2862,2738,2894,3161,3663,4384,3386,1825,562
Rutherford ,NC,3412,7802,7454,7143,7239,9323,10032,8474,4395,1552
Rutherford ,TN,21353,45073,53356,48157,45901,42156,34928,21388,9377,3201
Rutland ,VT,2676,5811,7310,6349,5932,7763,9876,7823,3637,1495
Sabine ,TX,524,1095,1011,943,888,1148,1746,1801,1076,357
Sabine Parish,LA,1464,3234,2677,2841,2681,2893,3262,2901,1526,553
Sac ,IA,591,1240,996,948,958,1152,1551,1151,692,440
Sacramento ,CA,98953,204845,191188,242588,205225,192101,188474,128725,61015,27861
Sagadahoc ,ME,1780,3830,3419,4089,4045,4798,5792,4708,2358,815
Saginaw ,MI,10920,22456,25323,23824,20761,23775,26958,20859,10946,4978
Saguache ,CO,398,815,673,583,763,789,1250,1112,360,100
Salem ,NJ,3360,7619,7461,7388,7312,8499,9331,6626,3305,1706
Salem city,VA,1395,2747,4215,2955,2738,3273,3484,2717,1461,658
Saline ,AR,7084,16096,13817,15485,16439,15720,15216,12628,6871,2065
Saline ,IL,1520,2675,2715,2952,2675,3142,3382,2684,1525,636
Saline ,KS,3302,7108,7055,6756,6262,6584,7578,5367,2929,1460
Saline ,MO,1294,2916,3432,2706,2642,2614,3109,2265,1321,596
Saline ,NE,962,2097,2383,1610,1680,1741,1722,1172,640,343
Salt Lake ,UT,86592,174788,161613,190436,168945,129167,115935,76498,35003,13656
Saluda ,SC,1241,2499,2260,2513,2341,2670,2960,2257,1317,486
Sampson ,NC,4103,8594,8235,7113,7561,8352,8332,6583,3443,1310
San Augustine ,TX,421,914,795,849,733,985,1358,1141,721,315
San Benito ,CA,4072,9017,8502,8424,8136,7931,7518,4773,2188,976
San Bernardino ,CA,155258,320880,320342,332175,280318,265247,246022,153660,70588,27113
San Diego ,CA,208270,397934,458932,550920,448741,413143,395970,271988,133252,64214
San Francisco ,CA,39722,62022,78928,208296,139336,115096,101656,76846,39574,21829
San Jacinto ,TX,1601,3498,3227,3011,2978,3402,4722,3765,1933,582
San Joaquin ,CA,53303,116376,106620,105848,97935,92063,84599,56813,27375,11728
San Juan ,CO,28,56,48,98,110,100,144,118,48,12
San Juan ,NM,8328,19004,16138,17217,15688,13762,16221,10931,5509,2245
San Juan ,UT,1192,2715,2381,1887,1650,1670,1767,1286,641,260
San Juan ,WA,489,1302,1319,1422,1622,1900,3235,3770,1568,501
San Luis Obispo ,CA,13125,28355,51688,32591,31418,30839,38954,33892,15987,7161
San Mateo ,CA,43545,88365,82421,115358,110049,106186,99700,69770,35986,18165
San Miguel ,CO,326,860,748,1298,1202,1320,1236,916,224,61
San Miguel ,NM,1292,2739,3850,3249,2824,3323,4322,3561,1867,564
San Patricio ,TX,4902,9939,8855,8901,8584,7873,7818,5986,3010,1025
San Saba ,TX,312,672,814,897,514,643,756,802,439,205
Sanborn ,SD,186,341,244,284,287,228,382,282,124,71
Sanders ,MT,564,1124,1024,927,1047,1244,2213,2283,1095,323
Sandoval ,NM,7991,19617,17415,17930,18332,18072,20066,16300,7037,2419
Sandusky ,OH,3307,7318,6987,6742,6962,7672,8770,6387,3231,1423
Sangamon ,IL,11020,24562,23562,24587,23952,25005,27773,20471,9856,4560
Sanilac ,MI,2215,4984,4677,4217,4363,5249,6658,5056,2811,952
Sanpete ,UT,1893,4332,6048,3937,3889,3129,3122,2554,1335,384
Santa Barbara ,CA,27676,55336,86201,59597,50645,47985,50622,37720,20155,10590
Santa Clara ,CA,115074,238648,234753,315016,279426,264950,228572,145807,78669,36655
Santa Cruz ,AZ,3211,7059,6564,5208,5060,5276,5712,4915,2565,941
Santa Cruz ,CA,13937,29830,49938,33296,31963,33536,36628,28877,11141,5109
Santa Fe ,NM,6449,15650,15820,16842,16848,18583,23379,23346,9875,3264
Santa Rosa ,FL,10122,22285,20740,25038,23113,24447,24959,17509,8603,2533
Sarasota ,FL,15073,34299,35316,35753,35819,47296,66653,78861,53441,24207
Saratoga ,NY,11788,25810,27455,27988,28290,33727,33377,24957,11830,4941
Sargent ,ND,221,452,403,442,423,476,581,505,247,120
Sarpy ,NE,13311,28877,24023,26553,26401,22913,20704,13041,6175,2461
Sauk ,WI,3912,8167,7390,7555,7812,8280,9233,6934,3396,1570
Saunders ,NE,1327,2959,2404,2314,2431,2693,3183,2290,1206,496
Sawyer ,WI,834,1846,1560,1437,1503,1988,3046,2596,1265,414
Schenectady ,NY,8948,18737,19612,20554,19163,20269,21477,14724,7494,4372
Schleicher ,TX,150,441,374,347,338,335,343,353,165,49
Schley ,GA,267,779,661,540,614,838,640,518,291,88
Schoharie ,NY,1265,3113,4293,3297,3247,4112,4973,4009,2044,744
Schoolcraft ,MI,323,799,768,639,753,1022,1602,1249,654,259
Schuyler ,IL,277,723,713,728,852,1012,1028,891,472,211
Schuyler ,MO,366,603,569,530,456,539,626,470,311,129
Schuyler ,NY,906,1914,1833,2026,1973,2465,2973,2282,1096,444
Schuylkill ,PA,6957,15957,15104,17023,16776,20270,20974,16257,8606,4143
Scioto ,OH,4367,9111,9436,9569,9087,9681,10459,7787,4285,1720
Scotland ,MO,439,797,643,554,526,516,592,466,301,132
Scotland ,NC,2210,4442,4575,4335,3939,4345,4595,3816,1815,738
Scott ,AR,581,1384,1154,1177,1081,1337,1453,1205,726,221
Scott ,IL,246,631,523,490,590,669,798,502,343,134
Scott ,IN,1411,3034,2828,2924,2930,3357,3419,2391,1238,346
Scott ,IA,11016,23228,21203,22759,22415,21508,23012,16405,7972,3765
Scott ,KS,319,781,593,564,521,544,627,503,286,159
Scott ,KY,3672,8083,7488,7686,8011,7743,6601,4314,1817,616
Scott ,MN,10084,23303,18709,17678,21649,21976,17947,9775,4492,1768
Scott ,MS,2210,4237,3436,3655,3356,3499,3634,2460,1312,488
Scott ,MO,2444,5284,4412,4906,4437,4868,5167,3974,2161,805
Scott ,TN,1395,2959,2695,2671,2829,2926,2860,2223,1139,342
Scott ,VA,871,2243,2157,2302,2456,2974,3320,2903,1711,597
Scotts Bluff ,NE,2448,5059,4425,4272,4204,3861,4871,3720,2000,1129
Screven ,GA,833,1557,1622,1811,1545,1808,2140,1600,768,254
Scurry ,TX,1166,2408,2277,2240,2250,1976,2001,1355,819,374
Searcy ,AR,418,912,818,776,799,1001,1246,1125,621,242
Sebastian ,AR,8387,16911,16616,17316,15448,16225,16346,11920,6109,2475
Sedgwick ,CO,120,262,224,241,245,219,388,305,193,106
Sedgwick ,KS,35500,74716,69142,73073,63119,58625,64945,44054,20829,9604
Seminole ,FL,24795,55878,56459,67976,64803,64552,60836,42730,20368,9435
Seminole ,GA,443,982,951,859,859,1042,1261,1083,586,249
Seminole ,OK,1600,3399,3339,2724,2852,2933,3299,2466,1473,493
Seneca ,NY,1768,3808,4216,4642,3809,4271,5195,3886,1885,820
Seneca ,OH,2991,6839,8081,6406,6422,6553,7898,5704,2916,1397
Sequatchie ,TN,764,1733,1679,1631,1752,2027,2262,1837,900,291
Sequoyah ,OK,2581,5130,5107,4841,4802,5410,5506,4522,2510,770
Sevier ,AR,1353,2749,2324,2156,1946,2172,1946,1423,787,283
Sevier ,TN,5308,11227,11025,11680,11254,13650,14407,11944,5721,1676
Sevier ,UT,1590,3578,2975,2392,2867,2133,2539,1986,1118,361
Seward ,KS,2000,3861,3344,3298,2594,2447,2106,1198,641,291
Seward ,NE,1003,2384,2983,1842,1952,1974,2264,1613,873,430
Shackelford ,TX,172,434,380,364,334,360,544,354,233,78
Shannon ,MO,426,1040,840,892,772,1035,1374,1025,606,179
Sharkey ,MS,261,621,507,471,476,497,706,486,224,128
Sharp ,AR,938,1955,1855,1622,1746,2115,2605,2504,1508,518
Shasta ,CA,10597,21371,20288,23162,20066,20618,26385,22016,11253,4284
Shawano ,WI,2180,4955,4366,4215,4425,5589,6445,4803,2765,1053
Shawnee ,KS,11020,23629,22205,22055,21022,20923,24349,18516,9424,4356
Sheboygan ,WI,6304,14573,14187,13440,13840,15271,17052,11957,6021,2811
Shelby ,AL,12461,28890,26968,26163,29561,30589,27988,20280,9391,3416
Shelby ,IL,1265,2590,2285,2382,2352,2705,3265,2727,1469,701
Shelby ,IN,2567,5736,5298,5336,5344,6043,6625,4411,2267,966
Shelby ,IA,596,1479,1348,1080,1151,1456,1850,1288,812,518
Shelby ,KY,3006,6093,6293,5976,6326,6824,6516,4656,2104,724
Shelby ,MO,395,818,672,616,730,639,893,688,402,197
Shelby ,OH,3129,6769,6174,5690,5545,6405,6874,4657,2338,1046
Shelby ,TN,65125,129962,124383,138984,117026,116519,116666,78085,34360,14654
Shelby ,TX,1804,3601,3225,3049,2961,3053,3274,2515,1462,474
Shenandoah ,VA,2493,5095,4697,4978,4744,5760,6287,5320,3013,1110
Sherburne ,MN,6532,14307,12466,12855,13445,13837,11710,6801,2932,1151
Sheridan ,KS,171,356,281,236,265,247,393,298,163,123
Sheridan ,MT,178,417,322,337,449,365,582,408,245,121
Sheridan ,NE,333,619,537,441,550,567,750,742,409,242
Sheridan ,ND,76,127,121,114,93,161,220,191,157,89
Sheridan ,WY,1661,3706,3481,3495,3590,3454,4499,3845,1749,753
Sherman ,KS,399,777,725,721,665,597,878,588,386,163
Sherman ,NE,162,365,310,259,272,355,492,423,268,132
Sherman ,OR,91,163,149,175,192,200,285,233,154,66
Sherman ,TX,210,519,396,352,335,428,380,250,141,68
Shiawassee ,MI,3692,7926,8503,7924,7720,9418,10486,7417,3724,1382
Shoshone ,ID,769,1409,1338,1387,1323,1556,2091,1755,875,293
Sibley ,MN,844,2079,1756,1631,1776,1892,2294,1452,870,434
Sierra ,CA,139,263,225,247,288,321,559,586,274,85
Sierra ,NM,552,896,860,935,861,1122,1736,2166,1352,488
Silver Bow ,MT,2017,3930,5174,4303,3864,3965,5073,3777,2043,847
Simpson ,KY,1206,2467,2322,2383,2147,2457,2491,1834,913,309
Simpson ,MS,1492,3662,3332,3251,3219,3301,3795,2713,1484,509
Sioux ,IA,2462,5408,6230,3784,3945,3461,4083,2810,1743,983
Sioux ,NE,45,124,139,84,121,115,220,172,105,62
Sioux ,ND,447,856,701,578,491,499,433,204,114,35
Siskiyou ,CA,2268,5111,4349,4543,4412,4730,7151,6886,3124,1150
Sitka City and Borough,AK,437,1105,1017,1254,1173,1039,1261,840,372,149
Skagit ,WA,7780,15598,14455,16173,15114,14502,17993,15876,7687,3028
Skagway Municipality,AK,61,99,70,215,224,160,152,108,50,9
Skamania ,WA,524,1263,1178,1225,1415,1596,2216,1582,663,262
Slope ,ND,43,88,74,69,76,80,158,102,45,28
Smith ,KS,206,396,360,292,369,356,627,492,297,208
Smith ,MS,912,2093,1935,1800,1838,2058,2228,1771,998,369
Smith ,TN,1230,2470,2401,2416,2373,2775,2892,2106,988,291
Smith ,TX,15891,31247,31475,31439,27197,26900,28062,21290,11981,4739
Smyth ,VA,1390,3352,3309,3446,3483,4301,4485,3711,2159,836
Snohomish ,WA,52083,102490,92748,122124,115704,110698,109286,68397,29342,12029
Snyder ,PA,2182,4770,6235,4534,4382,5206,5537,4221,2438,1035
Socorro ,NM,962,2176,2471,1980,1734,1795,2387,1918,972,340
Solano ,CA,26952,55122,55365,65793,56467,56212,60269,43131,19308,7991
Somerset ,ME,2361,5353,5428,5494,5690,7325,8411,6381,3075,1074
Somerset ,MD,1248,2420,5018,3423,2898,2944,3372,2525,1302,525
Somerset ,NJ,16889,41327,41589,37019,42360,51411,48951,28543,15184,7891
Somerset ,PA,3367,7388,7754,8577,8589,10182,11560,9125,4968,2442
Somervell ,TX,449,1177,1092,986,1074,1235,1298,1006,487,212
Sonoma ,CA,24820,55785,57870,64471,62411,63684,72187,60519,26087,12108
Southampton ,VA,671,1903,1821,1915,1891,2794,3035,2053,1113,390
Southeast Fairbanks Census Area,AK,515,945,743,1012,859,868,971,677,275,53
Spalding ,GA,4163,8836,7817,9029,7706,8253,8493,7101,3516,1186
Spartanburg ,SC,19007,40849,41205,43213,37315,41602,39885,30284,15466,5062
Spencer ,IN,1057,2536,2377,2160,2320,2750,3195,2303,1167,462
Spencer ,KY,1032,2408,2185,2034,2557,3051,2900,1724,695,208
Spink ,SD,392,831,747,734,699,719,1025,687,416,245
Spokane ,WA,31388,63596,67158,77182,63531,61134,67363,50455,22954,9870
Spotsylvania ,VA,8217,18791,17325,16845,17098,19145,17688,11763,5304,2062
St. Bernard Parish,LA,3308,7239,5449,7713,6330,5468,5874,3357,1416,567
St. Charles ,MO,23483,52938,49764,51734,53796,52368,54320,35722,17859,7198
St. Charles Parish,LA,3347,7369,6634,6796,6853,7163,7543,4457,1987,730
St. Clair ,AL,5289,11485,9627,11826,11301,12254,12170,8944,4493,1301
St. Clair ,IL,16419,34268,32069,34159,33097,33331,36455,23810,11858,5593
St. Clair ,MI,8025,18695,18882,17656,17721,23073,25263,17737,8796,3489
St. Clair ,MO,569,960,906,923,865,1131,1503,1342,863,333
St. Croix ,WI,5519,12794,10633,10353,12447,12623,12697,7776,3474,1378
St. Francis ,AR,1583,2912,2917,3783,3673,3167,3282,2505,1149,468
St. Francois ,MO,3635,7920,7990,9665,9060,8757,8700,6204,3516,1245
St. Helena Parish,LA,560,1236,1158,1441,1082,1284,1455,1196,639,211
St. James Parish,LA,1223,2693,2599,2789,2401,2658,3064,2108,1141,361
St. John the Baptist Parish,LA,2767,6002,5658,5753,5271,5584,6005,3865,1707,572
St. Johns ,FL,12573,32361,27994,24742,32906,35846,36359,31356,14550,5574
St. Joseph ,IN,17363,35703,40478,36114,31886,32029,34415,24635,11850,6298
St. Joseph ,MI,3946,8414,7390,7318,6938,7416,8638,6396,3257,1330
St. Landry Parish,LA,6305,12317,10396,10471,9303,9624,11020,7792,4037,1499
St. Lawrence ,NY,5535,12456,18168,12792,11780,13522,14968,10886,5658,2282
St. Louis ,MN,10151,21345,31481,23153,22510,22428,29938,22457,10953,5338
St. Louis ,MO,58894,121963,123321,128145,119468,123743,141201,100627,52603,26980
St. Louis city,MO,18712,30527,35778,61017,39992,35254,40068,25111,10933,5446
St. Lucie ,FL,16190,35891,34435,36727,35415,39881,45086,42195,25503,9805
St. Martin Parish,LA,3610,7220,6445,7504,6526,6780,7479,4865,2383,809
St. Mary Parish,LA,3404,6527,5903,6442,5545,6441,7270,4716,2563,963
St. Mary's ,MD,7162,15411,15040,15887,14008,15739,14687,8738,4367,1625
St. Tammany Parish,LA,15851,34859,30801,29666,32706,34152,36382,26924,12310,4460
Stafford ,KS,269,549,486,410,399,470,668,460,288,179
Stafford ,VA,9559,22291,21680,20080,20838,22119,17719,9887,4394,1393
Stanislaus ,CA,39758,84202,76281,79676,69807,65483,62289,42445,21079,8795
Stanley ,SD,187,426,301,330,374,368,419,358,197,62
Stanly ,NC,3606,7426,7498,7823,6933,8559,8497,6866,3629,1238
Stanton ,KS,138,290,271,208,243,226,261,178,111,61
Stanton ,NE,380,835,725,638,701,707,918,589,331,146
Stark ,IL,293,657,621,549,607,668,822,651,398,161
Stark ,ND,2679,4496,3545,5311,3880,3203,3679,2143,1221,840
Stark ,OH,20919,44364,46089,44363,41995,47691,53860,40818,21662,9813
Starke ,IN,1346,2950,2649,2643,2637,2970,3474,2549,1372,345
Starr ,TX,6284,11529,10723,8592,7530,7173,5381,4123,2331,859
Staunton city,VA,1631,2496,2652,3406,3087,2977,3366,2991,1578,738
Ste. Genevieve ,MO,977,2194,2009,1975,1997,2281,2970,1996,1044,445
Stearns ,MN,10134,20348,29778,19476,17961,17991,19489,13409,7342,3328
Steele ,MN,2293,5324,4351,4353,4386,4610,4995,3478,1994,1019
Steele ,ND,136,214,199,191,176,207,321,262,150,47
Stephens ,GA,1584,3213,3686,2973,2777,3209,3541,3058,1557,437
Stephens ,OK,2567,5627,5070,5034,5082,5034,6219,4770,2741,1121
Stephens ,TX,506,1186,1210,1186,1151,1027,1303,1040,582,242
Stephenson ,IL,2421,5394,5042,4660,4598,5611,6855,5395,3171,1606
Sterling ,TX,109,197,167,151,179,147,172,92,60,37
Steuben ,IN,1976,3854,4798,3657,3492,4591,5235,4257,2038,688
Steuben ,NY,5193,11597,11060,11164,10841,12792,14299,10839,5556,2455
Stevens ,KS,343,988,729,589,657,684,685,463,256,165
Stevens ,MN,541,1185,2309,1078,1009,852,1093,826,503,357
Stevens ,WA,2434,5582,4716,4234,4607,5381,7764,6621,2972,949
Stewart ,GA,203,431,973,1426,867,682,653,533,277,154
Stewart ,TN,744,1544,1539,1425,1564,1953,2034,1663,826,269
Stillwater ,MT,428,1196,1043,803,1065,1183,1656,1370,614,176
Stoddard ,MO,1652,3566,3389,3475,3511,3705,4061,3169,1865,813
Stokes ,NC,2041,4807,5005,4745,4889,6890,7422,5541,3037,1090
Stone ,AR,596,1370,1200,1171,1274,1365,2065,1875,1144,397
Stone ,MS,1053,2205,3270,2287,2173,2308,2430,1899,868,224
Stone ,MO,1213,2959,2893,2525,2834,3767,5721,5937,3098,802
Stonewall ,TX,79,162,141,118,140,163,198,187,108,66
Storey ,NV,98,292,288,325,359,519,880,850,322,96
Story ,IA,4468,8955,33150,12902,9677,8146,8995,6647,3483,1682
Strafford ,NH,6217,13615,24777,17270,14389,16599,17688,11669,5425,2441
Stutsman ,ND,1123,2383,2909,2576,2421,2393,3119,2180,1129,684
Sublette ,WY,532,1307,958,1121,1297,1254,1433,1183,548,180
Suffolk ,MA,41899,70546,131902,189135,104175,89008,83936,55549,27754,13348
Suffolk ,NY,79299,174308,193248,175904,173880,219141,215557,140168,74839,34749
Suffolk city,VA,6165,12262,10837,12324,11631,12501,12301,7889,3788,1487
Sullivan ,IN,1043,2192,2453,2940,2751,2858,2735,2193,1057,468
Sullivan ,MO,410,754,736,625,704,867,866,711,402,146
Sullivan ,NH,2037,4569,4440,4911,4743,6022,7165,5566,2526,1165
Sullivan ,NY,4280,8927,8783,9011,8680,10384,11195,8597,4242,1399
Sullivan ,PA,175,319,657,580,606,783,1233,960,553,205
Sullivan ,TN,7622,17187,17284,18434,17693,22092,22827,19330,11180,4019
Sully ,SD,78,167,124,139,147,153,236,200,95,53
Summers ,WV,515,1161,1203,1369,1578,1683,2074,1869,943,365
Summit ,CO,1404,2812,2956,6297,4662,4376,4265,3078,976,181
Summit ,OH,30222,62678,66635,72377,63166,70849,78759,56317,27773,13142
Summit ,UT,2279,5922,5417,5026,5427,6301,6281,3674,1294,312
Sumner ,KS,1349,3256,2773,2602,2666,2609,3438,2383,1291,629
Sumner ,TN,11333,24945,22056,23297,24713,26284,24857,17930,8682,3052
Sumter ,AL,728,1277,2878,1369,1053,1320,1780,1262,664,360
Sumter ,FL,2523,5136,5371,7523,7569,8588,17898,42567,26005,5574
Sumter ,GA,1799,3825,5316,3533,3169,3547,3565,3031,1417,531
Sumter ,SC,7089,14183,14686,15094,11917,12476,13551,10132,5425,1959
Sunflower ,MS,1441,3295,3502,4278,3382,3281,3038,2103,1007,408
Surry ,NC,3801,8622,8412,7743,8105,10269,10252,8420,4546,1778
Surry ,VA,265,602,656,713,575,918,1277,883,435,150
Susquehanna ,PA,1857,4266,4119,4123,4048,5451,7121,5467,3031,1106
Sussex ,DE,11499,24083,21161,23418,21602,26483,37465,39551,18272,5752
Sussex ,NJ,6369,15715,17259,15406,15686,22109,23893,15175,6576,2611
Sussex ,VA,477,964,1317,2049,1367,1539,1528,1152,608,236
Sutter ,CA,6735,14038,12632,13712,11689,11446,11653,8143,4787,1972
Sutton ,TX,240,487,459,440,390,508,544,401,188,101
Suwannee ,FL,2383,5386,4936,5497,4818,5468,6261,5268,3017,1157
Swain ,NC,962,1690,1682,1791,1642,1795,1954,1601,843,285
Sweet Grass ,MT,170,432,424,321,366,442,569,543,299,144
Sweetwater ,WY,2949,6466,5542,6023,6224,4878,5755,3432,1311,471
Swift ,MN,570,1231,966,1012,1050,1100,1372,1034,638,372
Swisher ,TX,464,1098,1030,1046,842,842,821,700,432,187
Switzerland ,IN,674,1535,1221,1172,1298,1462,1500,1080,587,188
Talbot ,GA,257,576,589,662,612,857,1190,941,454,134
Talbot ,MD,1714,3822,3394,3654,3444,4451,5685,5627,3641,1536
Taliaferro ,GA,66,164,146,173,175,207,254,240,114,69
