county,state,AGE_OTO4,AGE_5TO14,AGE_15TO24,AGE_25TO34,AGE_35TO44,AGE_45TO54,AGE_55TO64,AGE_65TO74,AGE_75TO84,AGE_84PLUS
Dorchester ,SC,9797,22415,19746,22406,21476,21867,20306,14453,6137,2044
Dougherty ,GA,5850,11878,16290,12004,10174,10043,10977,8345,3972,1710
Douglas ,CO,20097,51481,43686,37971,50658,54905,43043,26615,10558,3762
Douglas ,GA,9054,21431,20618,18556,19829,21673,17396,10820,4621,1333
Douglas ,IL,1253,2697,2358,2412,2301,2258,2676,1897,1138,489
Douglas ,KS,6030,12296,32114,17719,14291,11632,12400,9047,4017,1890
Douglas ,MN,2226,4644,3969,4297,4245,4283,5649,4723,2680,1248
Douglas ,MO,756,1678,1295,1323,1359,1547,2161,1839,1046,369
Douglas ,NE,42731,79541,74733,88001,75888,66112,66122,44351,20260,9141
Douglas ,NV,1641,4688,4359,4621,4823,5612,8915,8321,4156,1331
Douglas ,OR,5701,11952,10899,12284,11654,12435,16984,16279,8662,3433
Douglas ,SD,223,393,317,286,252,299,458,350,209,148
Douglas ,WA,2811,6386,5461,5359,5118,4828,5406,4390,2282,866
Douglas ,WI,2088,4948,5240,5376,5247,5495,6775,4767,2311,961
Drew ,AR,1096,2162,3197,2246,2020,2081,2319,1720,1081,406
Dubois ,IN,2848,5597,5260,4748,4938,5472,6272,4123,2278,1029
Dubuque ,IA,6079,12129,13567,12300,10743,11413,13214,9380,5412,2617
Duchesne ,UT,1819,3836,2611,2594,2766,1870,2060,1384,750,274
Dukes ,MA,816,1708,1642,1864,1947,2306,2850,2700,1091,428
Dundy ,NE,86,192,212,151,185,202,295,236,129,82
Dunklin ,MO,2000,4285,3511,3272,3322,3560,3965,3033,1768,707
Dunn ,ND,326,563,441,631,487,475,719,375,228,87
Dunn ,WI,2350,4995,10006,5098,4922,5051,5632,4154,1936,987
DuPage ,IL,55018,117770,117902,117969,120124,125712,130156,85121,40111,18706
Duplin ,NC,3604,7982,7062,6669,6890,7426,8217,6368,3253,1385
Durham ,NC,20417,35378,41813,57715,44411,38634,36901,25710,10877,4883
Dutchess ,NY,13331,30729,42437,35012,33876,42031,44669,29146,15340,7147
Duval ,FL,64303,118094,115971,157850,120292,118900,121288,81539,37030,14914
Duval ,TX,784,1580,1580,1428,1305,1268,1256,1058,692,261
Dyer ,TN,2328,5010,4645,4586,4373,4967,4845,3904,1968,694
Eagle ,CO,3058,6808,6170,8753,8594,8217,7037,4569,1426,361
Early ,GA,653,1445,1272,1146,1143,1294,1346,1063,646,239
East Baton Rouge Parish,LA,28827,54742,76932,64412,52895,48120,52500,38159,17302,7067
East Carroll Parish,LA,529,943,931,1071,840,791,893,588,333,118
East Feliciana Parish,LA,943,1969,2213,2502,2449,2718,3090,2126,1004,291
Eastland ,TX,1112,2110,2544,1897,1962,2011,2683,2197,1301,505
Eaton ,MI,5886,12570,13864,14285,12825,13963,16029,12274,5841,2289
Eau Claire ,WI,6031,11817,20268,14387,11985,11230,12442,9666,4611,2097
Echols ,GA,251,635,498,589,535,510,461,303,158,60
Ector ,TX,14541,27096,23606,27389,21104,16912,15716,9356,4630,1774
Eddy ,NM,4265,8556,7620,8287,7116,6441,7209,4797,2503,1106
Eddy ,ND,163,286,242,237,231,241,381,272,156,104
Edgar ,IL,882,2001,1904,1875,2021,2189,2711,2079,1160,538
Edgecombe ,NC,2922,6708,6230,6137,5619,6269,7867,6122,2928,1203
Edgefield ,SC,1073,2831,3221,3596,3520,3750,3987,3075,1454,545
Edmonson ,KY,584,1244,1505,1458,1480,1584,1873,1494,776,276
Edmunds ,SD,272,508,408,368,382,464,639,426,254,154
Edwards ,IL,349,821,689,643,754,835,926,755,424,196
Edwards ,KS,171,377,321,261,309,339,465,336,201,69
Edwards ,TX,125,249,176,172,178,199,268,340,165,56
Effingham ,GA,4226,9460,7736,8819,8782,8423,7522,4560,2060,602
Effingham ,IL,2277,4536,3950,4487,3885,4089,4941,3282,1924,837
El Dorado ,CA,8704,21966,20657,19448,21413,25549,32552,24944,11117,4328
El Paso ,CO,48160,95558,106458,114732,90805,83364,83716,56479,25034,9550
El Paso ,TX,63036,126375,133023,126315,104688,96349,87880,58475,30901,13716
Elbert ,CO,1229,3313,3043,2323,2957,4187,4919,3024,994,293
Elbert ,GA,1131,2322,2073,2345,2065,2464,2721,2283,1250,466
Elk ,KS,146,319,206,189,221,269,429,367,270,92
