county,state,cases_per_capita_100k,deaths_per_capita_100k,pop_per_sq_mile_2010
Cabarrus,NC,0.461994059,0,492.1
Cabell,WV,1.087606721,0,342.8
Cache,UT,1.558980115,0,96.7
Caddo,LA,0.416312801,0,290.2
Caddo,OK,3.476809679,0,23.2
Calaveras,CA,4.356823875,0,44.7
Calcasieu,LA,0.491555084,0,181.2
Caldwell,NC,1.216870695,0,176.1
Caldwell,TX,2.290216196,0,69.8
Caldwell,MO,11.0864745,0,22.1
Caldwell,LA,10.08267796,0,19.1
Caldwell,KY,7.844983133,0,37.7
Caledonia,VT,3.334111293,0,48.1
Calhoun,SC,6.871435443,0,39.8
Calhoun,AL,0.880242947,0,195.7
Calhoun,MI,0.745384208,0,192.8
Calhoun,MS,6.963303391,0,25.5
Calhoun,GA,16.15769914,0,23.9
Calhoun,TX,9.394081729,0,42.2
Calhoun,FL,7.089684509,0,25.8
Calhoun,IL,21.10149821,0,20
Calhoun,WV,14.06667604,0,27.3
Calhoun,IA,10.34340091,0,17
Callahan,TX,7.172057663,0,15.1
Callaway,MO,2.234986478,0,53.1
Calloway,KY,2.56403682,0,96.6
Calumet,WI,1.996446326,0,153.9
Calvert,MD,1.080788976,0,416.3
Camas,ID,90.4159132,0,1
Cambria,PA,0.76809635,0,208.7
Camden,NJ,0.197444671,0,2321.5
Camden,MO,2.159593996,0,67.1
Camden,GA,1.829290601,0,82.4
Camden,NC,9.202171713,0,41.5
Cameron,TX,0.236315557,0,456
Cameron,PA,22.48706993,0,12.8
Cameron,LA,14.34102969,0,5.3
Camp,TX,7.637085688,0,63.3
Campbell,TN,2.509914161,0,84.8
Campbell,WY,2.157916316,0,9.6
Campbell,KY,2.137117456,0,597
Campbell,VA,1.821991437,0,108.8
Canadian,OK,0.674281553,0,128.9
Candler,GA,9.256687957,0,45.3
Cannon,TN,6.812917291,0,52
Canyon,ID,0.43506824,0,321.6
Cape Girardeau,MO,1.267893142,0,130.8
Cape May,NJ,1.086495942,0,386.9
Carbon,WY,6.756756757,0,2
Carbon,PA,1.558069241,0,171.1
Carbon,MT,9.324009324,0,4.9
Carbon,UT,4.886868983,0,14.5
Caribou,ID,13.97624039,0,3.9
Carlisle,KY,21.00840336,0,26.9
Carlton,MN,2.787767277,0,41.1
Caroline,MD,2.993474226,0,103.5
Caroline,VA,3.2546786,0,54.1
Carroll,IA,4.959087528,0,36.6
Carroll,MD,0.593658539,0,373.4
Carroll,NH,2.044571662,0,51.4
Carroll,GA,11.6674445,0,221.5
Carroll,TN,3.601397342,0,47.6
Carroll,OH,3.715538382,0,73.1
Carroll,IN,4.936565138,0,54.1
Carroll,IL,6.99056274,0,34.6
Carroll,KY,9.406452827,0,84.1
Carroll,MS,10.0532824,0,16.9
Carroll,VA,3.356718472,0,63.3
Carroll,AR,3.523608175,0,43.6
Carroll,MO,11.52206475,0,13.4
Carson,TX,16.87478907,0,6.7
Carson City,NV,1.788396881,0,382.1
Carter,OK,2.07852674,0,57.8
Carter,MO,16.71681712,0,12.3
Carter,TN,1.773332624,0,168.3
Carter,KY,3.731761018,0,67.7
Carteret,NC,1.439408115,0,131.3
Carver,MN,0.95157438,0,256.9
Cascade,MT,3.687043728,0,30.1
Casey,KY,6.188501764,0,35.9
Cass,NE,3.809814081,0,45.3
Cass,MO,0.945358291,0,142.8
Cass,ND,0.549683108,0,84.9
Cass,TX,3.330446946,0,32.5
Cass,MN,3.358071124,0,14.1
Cass,MI,1.930986541,0,106.7
Cass,IN,2.653294065,0,94.5
Cass,IA,7.790588969,0,24.7
Cass,IL,16.46497077,0,36.3
Cassia,ID,4.161464836,0,8.9
Castro,TX,13.28021248,0,9
Caswell,NC,4.423995753,0,55.8
Catahoula,LA,10.53296819,0,14.7
Catawba,NC,0.626758842,0,387.1
Catoosa,GA,1.47972773,0,394.3
Catron,NM,28.35270768,0,0.5
Cattaraugus,NY,1.313766964,0,61.4
Cayuga,NY,2.611784371,0,115.7
Cecil,MD,0.972242477,0,292
Cedar,IA,5.368551028,0,31.9
Cedar,MO,34.84563384,0,29.5
Cedar,NE,23.80385622,0,12
Centre,PA,0.615820427,0,138.7
Cerro Gordo,IA,4.711425206,0,77.7
Chaffee,CO,9.825112989,0,17.6
Chambers,AL,3.007157034,0,57.4
Chambers,TX,4.562356001,0,58.8
Champaign,IL,0.953793475,0,201.8
Champaign,OH,2.57168574,0,93.5
Chariton,MO,13.46619984,0,10.4
Charles,MD,0.612531163,0,320.2
Charles City,VA,14.36162574,0,39.7
Charles Mix,SD,10.76194576,0,8.3
Charleston,SC,0.243068891,0,382.3
Charlevoix,MI,3.82511571,0,62.3
Charlotte,FL,0.529352602,0,235.2
Charlotte,VA,8.417508418,0,26.5
Charlottesville city,VA,2.115685694,0,4246.4
Charlton,GA,7.467144564,0,15.7
Chase,KS,37.76435045,0,3.6
Chase,NE,25.4841998,0,4.4
Chatham,NC,1.342822613,0,93.1
Chatham,GA,0.691013371,0,621.7
Chattahoochee,GA,9.168423948,0,45.3
Chattooga,GA,4.03404736,0,83
Chautauqua,NY,0.788003436,0,127.2
Chautauqua,KS,30.76923077,0,5.7
Chaves,NM,6.190513039,0,10.8
Cheatham,TN,2.458996238,0,129.3
Cheboygan,MI,3.956322203,0,36.6
Chelan,WA,1.295336788,0,24.8
Chemung,NY,1.198236196,0,218.1
Chenango,NY,2.118329909,0,56.5
Cherokee,GA,0.38643908,0,508.3
Cherokee,KS,5.015296655,0,36.8
Cherokee,NC,13.98014819,0,60.3
Cherokee,AL,3.817376699,0,46.9
Cherokee,OK,2.055202746,0,62.7
Cherokee,TX,1.899479543,0,48.3
Cherokee,SC,1.745200698,0,140.9
Cherokee,IA,8.900756564,0,20.9
Cherry,NE,17.57778168,0,1
Chesapeake city,VA,0.408438336,0,652
Cheshire,NH,1.314319511,0,109.1
Chester,PA,0.190480181,0,664.7
Chester,TN,5.781349367,0,60
Chester,SC,3.10135219,0,57.1
Chesterfield,VA,0.283445105,0,747.1
Chesterfield,SC,2.190580504,0,58.5
Cheyenne,NE,11.22334456,0,8.4
Cheyenne,KS,37.63643207,0,2.7
Cheyenne,CO,109.229929,0,1
Chickasaw,MS,5.84692744,0,34.7
Chickasaw,IA,8.38012235,0,24.7
Chicot,AR,9.883376161,0,18.3
Childress,TX,13.68738024,0,10.1
Chilton,AL,2.250832808,0,63
Chippewa,WI,1.546599029,0,61.9
Chippewa,MI,2.677447857,0,24.7
Chippewa,MN,8.474576271,0,21.4
Chisago,MN,1.767440216,0,129.9
Chittenden,VT,0.610597531,0,291.7
Choctaw,MS,12.18026797,0,20.4
Choctaw,AL,7.943442688,0,15.2
Choctaw,OK,6.815703381,0,19.7
Chowan,NC,7.172057663,0,85.8
Christian,KY,1.419224819,0,103.1
Christian,IL,3.095591877,0,49.1
Christian,MO,2.257463739,0,137.6
Churchill,NV,4.014613192,0,5
Cibola,NM,3.748828491,0,6
Cimarron,OK,46.79457183,0,1.3
Citrus,FL,0.668194605,0,242.8
Clackamas,OR,0.239127472,0,201
Claiborne,LA,6.381620932,0,22.8
Claiborne,TN,3.129009043,0,74.1
