,county,state,cases_per_capita_100k,deaths_per_capita_100k,pop_per_sq_mile_2010
2624,Horry,South Carolina,0.847263762,0.0,237.5
2649,Denton,Texas,0.112713268,0.0,754.3
2663,Utah,Utah,0.157174629,0.0,257.8
2693,Lewis,Washington,1.2390498970000001,0.0,31.4
2694,Lincoln,Washington,9.141603437,0.0,4.6
2722,Fairbanks North Star Borough,Alaska,2.0650703669999997,0.0,13.3
2727,Cleburne,Arkansas,4.013002127,0.0,46.9
2728,Cleveland,Arkansas,12.56913022,0.0,14.5
2729,Desha,Arkansas,8.802042074,0.0,16.9
2732,Lincoln,Arkansas,7.678132678,0.0,25.2
2743,Nevada,California,1.002456017,0.0,103.1
2797,Escambia,Florida,0.31415323100000003,0.0,453.4
2799,Lake,Florida,0.272391983,0.0,316.6
2826,Forsyth,Georgia,0.409413229,0.0,783.5
2830,Hall,Georgia,0.489138676,0.0,457.5
2835,Paulding,Georgia,0.592884204,0.0,455.8
2837,Troup,Georgia,1.430165041,0.0,161.9
2851,Peoria,Illinois,0.558101117,0.0,301.2
2855,Will,Illinois,0.144771644,0.0,809.6
2859,Bartholomew,Indiana,1.193616539,0.0,188.7
2861,Floyd,Indiana,1.273528438,0.0,504.1
2889,Ascension,Louisiana,0.789864459,0.0,369.7
2907,Frederick,Maryland,0.38528667299999997,0.0,353.5
2912,Talbot,Maryland,2.6895457360000004,0.0,140.7
2938,Benton,Minnesota,2.445645528,0.0,94.2
2939,Blue Earth,Minnesota,1.4781310509999999,0.0,85.6
2952,Hancock,Mississippi,2.099428955,0.0,92.7
2955,Monroe,Mississippi,2.836718484,0.0,48.3
2957,Cass,Missouri,0.9453582909999999,0.0,142.8
2971,Carroll,New Hampshire,2.044571662,0.0,51.4
2980,Hunterdon,New Jersey,0.8040459590000001,0.0,300.0
2987,Somerset,New Jersey,1.21604942,0.0,1071.7
2994,Allegany,New York,4.3392419339999995,0.0,47.6
3005,Onondaga,New York,0.217142063,0.0,600.0
3006,Ontario,New York,0.910937628,0.0,167.6
3021,Durham,North Carolina,0.311053601,0.0,935.7
3036,Geauga,Ohio,1.067817062,0.0,233.4
3044,Canadian,Oklahoma,0.6742815529999999,0.0,128.9
3051,Benton,Oregon,1.074656379,0.0,126.6
3081,Fairfield,South Carolina,4.474873585,0.0,34.9
3100,Sevier,Tennessee,1.017811705,0.0,151.7
3106,Bowie,Texas,1.072443563,0.0,104.6
3117,Matagorda,Texas,5.45806839,2.729034195,33.4
3125,Tooele,Utah,1.383910655,0.0,8.4
3127,Wasatch,Utah,2.933325511,0.0,20.0
3132,Orange,Vermont,3.4611657210000004,0.0,42.1
3144,Stafford,Virginia,0.65409924,0.0,479.5
3145,York,Virginia,1.464557704,0.0,624.8
3173,Outagamie,Wisconsin,0.532240466,0.0,277.2
3179,Wood,Wisconsin,1.369881779,0.0,94.2
3187,Madison,Alabama,0.268161938,0.0,417.7
3189,St. Clair,Alabama,1.117168648,0.0,132.3
3194,Ketchikan Gateway Borough,Alaska,7.19372707,0.0,2.8
3197,Navajo,Arizona,0.901518157,0.0,10.8
3212,Kern,California,0.11108617800000001,0.0,103.3
3216,Monterey,California,0.46076473100000004,0.0,126.5
3263,Sussex,Delaware,0.426939908,0.0,210.6
3267,Brevard,Florida,0.16612896300000002,0.0,535.0
3287,Polk,Florida,0.137973473,0.0,334.9
3315,Richmond,Georgia,0.49378326899999997,0.0,618.4
3317,Whitfield,Georgia,0.955767099,0.0,353.2
3318,Hawaii,Hawaii,0.49624589999999996,0.0,45.9
3324,Madison,Idaho,2.505826046,0.0,80.0
3344,Franklin,Indiana,8.788118464,0.0,60.1
3349,Lake,Indiana,0.41195238700000003,0.0,994.1
3355,Adair,Iowa,13.98210291,0.0,13.5
3357,Black Hawk,Iowa,0.762032493,0.0,231.7
3365,Douglas,Kansas,0.8179356940000001,0.0,243.1
3366,Ford,Kansas,2.9745084619999997,0.0,30.8
3375,Lyon,Kentucky,12.18026797,0.0,38.9
3381,East Baton Rouge,Louisiana,0.227242256,0.0,966.6
3390,Washington,Louisiana,2.164783305,0.0,70.4
3393,Kennebec,Maine,0.8176481170000001,0.0,140.8
3395,Oxford,Maine,1.7248814140000002,0.0,27.8
