county,state,county_state,lat,long,totalpop,total_votes20,votes20_donald_trump,votes20_joe_biden,percentage20_donald_trump,percentage20_joe_biden,cases,deaths,men,women,hispanic,white,black,native,asian,pacific,income,incomepercap,poverty,professional,service,office,construction,production,drive,carpool,transit,walk,othertransp,workathome,meancommute,employed,privatework,publicwork,selfemployed,familywork,unemployment,cases_per_capita_100k,deaths_per_capita_100k,pop_per_sq_mile_2010,age_oto4,age_5to14,age_15to24,age_25to34,age_35to44,age_45to54,age_55to64,age_65to74,age_75to84,age_84plus,evangelicals,protestant,catholic,orthodox,muslim,other
Clark,MO,"Clark, MO",40.41040752,-91.73661677,6807,3394,2672,678,0.787,0.2,130,1,3467,3340,0.5,97.2,0.3,0.2,0.1,0,45216,26253,15.3,27.7,13.6,18.1,13.9,26.8,79.2,7.7,0.1,3.8,1.3,8,23.5,3135,72.7,16,11,0.3,4.6,14.71237311,0,14.1,419,894,716,722,761,851,1056,771,445,207,0,0,0,0,0,0
Clark,KS,"Clark, KS",37.23577007,-99.81883015,2089,1048,885,143,0.844,0.136,68,4,1073,1016,10.7,83.1,1,1.4,0.9,0,46094,27087,8.9,44.3,14.1,19.5,16.3,5.7,78.6,5.8,0,7.9,2.6,5.1,17.4,1029,66.4,18.9,14.4,0.4,1.5,50.15045135,0,2.3,107,297,243,212,234,208,264,193,156,91,0,0,0,0,0,0
Clarke,GA,"Clarke, GA",33.95436462,-83.37124007,123554,51218,14412,35969,0.281,0.702,5865,50,58788,64766,10.6,55.6,27.3,0.1,4.2,0,34557,21203,34.1,40.7,21.3,19.9,5.7,12.4,74.6,10.3,4.5,3.9,2.5,4.2,19.4,57801,71.7,23.6,4.5,0.3,7.6,1.558469894,0,979.1,6662,12144,36113,20992,14419,11570,11471,8528,3844,1587,0,0,0,0,0,0
Clarke,MS,"Clarke, MS",32.04158545,-88.6889622,16089,8277,5372,2815,0.649,0.34,791,53,7575,8514,0.9,63.4,35.1,0.1,0,0,37626,20564,18.5,26.2,16.6,21,20.3,16,83.1,9.4,0,2.9,2.8,1.8,32,6137,79,15,5.7,0.3,9.1,6.434592369,0,24.2,888,1940,1852,1818,1686,1955,2275,1831,1017,342,0,0,0,0,0,0
Clarke,VA,"Clarke, VA",39.11271747,-77.99199425,14331,9290,5192,3920,0.559,0.422,125,1,7195,7136,4.8,86.9,4.9,0.4,1,0,72129,38658,10.4,41,18.1,19.3,12.9,8.8,79.4,8.4,0.1,3.9,0.8,7.4,35.6,7087,71.8,18.5,9.6,0.2,3.3,6.840413161,0,79.7,679,1641,1620,1322,1540,2216,2437,1836,905,327,0,0,0,0,0,0
Clarke,AL,"Clarke, AL",31.68099859,-87.83548597,24625,13102,7310,5730,0.558,0.437,1406,17,11649,12976,0.2,53,45.7,0.1,0.5,0.1,33827,20765,25.3,21.6,14.3,24.8,13.7,25.6,83.7,11.9,0.2,0.7,2.7,0.9,23.9,7933,83.1,11.8,5.1,0,15.2,8.4666836,0,20.9,1386,2789,3007,2628,2788,3120,3449,2597,1564,592,0,0,0,0,0,0
Clarke,IA,"Clarke, IA",41.02868181,-93.78499767,9267,4666,3140,1466,0.673,0.314,368,3,4600,4667,12.7,84.6,0.1,0,1,0,49718,25879,15.4,31.1,16.4,15.9,13.2,23.3,79,14.6,0.3,1.7,1,3.2,24.3,4610,80.9,11.9,6.8,0.4,4.4,10.64395955,0,21.5,665,1396,1053,1070,1087,1080,1329,962,509,272,0,0,0,0,0,0
Clatsop,OR,"Clatsop, OR",45.99712889,-123.660711,38021,23519,10001,12740,0.425,0.542,257,0,18909,19112,8.3,86,0.7,0.3,0.9,0.3,49828,28115,12.2,30,22.9,26,10.2,11,73.1,10.4,0.8,7.3,3.2,5.2,19.1,17121,75.9,15.5,8.3,0.3,6.5,2.486077963,0,44.7,2056,4235,4281,4830,4741,4484,6219,5748,2402,768,0,0,0,0,0,0
Clay,FL,"Clay, FL",29.98319144,-81.85609986,203291,124622,84470,38294,0.678,0.307,6200,127,100119,103172,9.3,74.2,9.6,0.1,3,0.1,61971,28599,10.4,33.5,18.3,26.6,10.9,10.7,83.3,8.1,0.1,1.1,1.9,5.4,33.3,91705,82.1,14.1,3.8,0.1,8.1,0.456096182,0,315.8,11957,28805,26410,27241,27863,29918,29774,21447,9584,3073,0,0,0,0,0,0
Clay,MN,"Clay, MN",46.89289518,-96.48761922,62040,32215,15031,16345,0.467,0.507,2690,45,30613,31427,4.3,88.5,2.5,1.3,1.1,0,61409,28122,12.5,36.1,18.2,24.6,9.2,11.8,79.1,8.1,1,4,1.5,6.3,18.9,33502,79.6,14.6,5.5,0.2,2.8,1.557098813,0,56.4,4755,8698,11714,8798,8099,6545,6933,4512,2565,1336,0,0,0,0,0,0
Clay,MS,"Clay, MS",33.65358105,-88.77784255,19990,10054,4147,5728,0.412,0.57,723,22,9273,10717,0.6,39.2,59,0.3,0.7,0,34118,19220,26.6,27.6,19.6,19.1,11.8,21.9,86.9,7.2,0,1.8,0.5,3.5,22.2,7663,75.6,16.9,7.5,0,11.3,5.177055291,0,50.3,1091,2516,2398,2558,2222,2274,2747,2090,1060,430,0,0,0,0,0,0
Clay,MO,"Clay, MO",39.31132056,-94.41850862,236068,126618,64583,59519,0.51,0.47,2761,48,115761,120307,6.6,82.1,5.6,0.3,2.2,0.2,65675,31953,8.9,37,16.6,25.4,7.2,13.8,84,8.1,0.6,1.2,0.9,5.1,23.1,123139,83.9,11.9,4,0.1,4.4,1.200249652,0,558.6,15697,33548,29757,36016,34002,32070,30504,20843,10004,3924,0,0,0,0,0,0
Clay,AL,"Clay, AL",33.26984193,-85.85836077,13407,6913,5589,1262,0.808,0.183,776,12,6471,6936,3.1,80.2,14.7,0.9,0,0,37287,21330,19.1,22.2,14.6,18.4,12.9,31.9,87.5,6,0,2.8,0.6,3,30.3,5509,77.8,14.5,7.7,0,6.4,7.555723461,0,23.1,687,1502,1575,1446,1506,1849,1959,1525,914,312,0,0,0,0,0,0
